,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
41,1,1,5,2,6,1,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,42,0.266906738,1400,2023-08-04 04:43:31.771,False,False
42,1,1,5,2,6,1,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,43,1.68969727,571,2023-08-04 04:43:34.982,False,False
43,1,1,5,2,6,1,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,44,8.128113,445,2023-08-04 04:43:49.271,False,False
44,1,1,5,3,6,1,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,45,2.72518921,154,2023-08-04 04:43:54.903,False,False
45,1,1,5,3,6,1,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,46,2.21401978,1294,2023-08-04 04:44:01.491,False,False
46,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,47,0.7723999,541,2023-08-04 04:44:07.785,False,False
47,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,48,2.18032837,1838,2023-08-04 04:44:16.817,False,False
48,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,49,12.139801,718,2023-08-04 04:44:30.597,False,False
49,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,50,0.8835144,1590,2023-08-04 04:44:33.958,False,False
50,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,51,13.4481812,159,2023-08-04 04:44:48.462,False,False
51,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,52,3.8243103,611,2023-08-04 04:44:53.776,False,False
52,2,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,53,4.074402,143,2023-08-04 04:45:04.539,False,False
