,User,Method,L_Step,L_DecisionTime,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece
78,1a1b31b1,MCTS_Knowledge,19,3.714096,True,False,False,False,False,True
79,1a1b31b1,MCTS_Knowledge,20,2.18818665,True,False,True,False,False,True
80,1a1b31b1,MCTS_Knowledge,21,43.8651123,True,False,True,False,False,True
81,1a1b31b1,MCTS_Knowledge,22,3.96759033,True,False,True,False,False,True
82,1a1b31b1,MCTS_Knowledge,23,31.87561,True,False,True,False,False,True
83,1a1b31b1,MCTS_Knowledge,24,6.96182251,True,False,True,False,False,True
84,1a1b31b1,MCTS_Knowledge,25,7.69979858,True,False,True,False,False,True
85,1a1b31b1,MCTS_Knowledge,26,18.7739868,True,False,True,False,False,True
86,1a1b31b1,MCTS_Knowledge,27,11.4855957,True,False,True,False,False,True
87,1a1b31b1,MCTS_Knowledge,28,15.9257813,True,False,True,False,False,True
88,1a1b31b1,MCTS_Knowledge,29,6.39361572,True,False,True,False,False,True
89,1a1b31b1,MCTS_Knowledge,30,7.969574,True,False,True,False,False,True
90,1a1b31b1,MCTS_Knowledge,31,12.1809082,True,False,True,False,False,True
91,1a1b31b1,MCTS_Knowledge,32,4.17138672,True,False,True,False,False,True
92,1a1b31b1,MCTS_Knowledge,33,15.5789185,True,False,True,False,False,True
93,1a1b31b1,MCTS_Knowledge,34,9.337616,True,False,True,False,False,True
94,1a1b31b1,MCTS_Knowledge,35,9.841522,True,False,True,False,False,True
95,1a1b31b1,MCTS_Knowledge,36,11.508606,True,False,True,False,False,True
96,1a1b31b1,MCTS_Knowledge,37,6.897003,True,False,True,False,False,True
97,1a1b31b1,MCTS_Knowledge,38,20.01361,True,False,True,False,False,True
98,1a1b31b1,MCTS_Knowledge,39,7.094116,True,False,True,False,False,True
99,1a1b31b1,MCTS_Knowledge,40,6.02197266,True,False,True,False,False,True
100,1a1b31b1,MCTS_Knowledge,41,12.203064,True,False,True,False,False,True
101,1a1b31b1,MCTS_Knowledge,42,2.23840332,True,False,True,False,False,True
102,1a1b31b1,MCTS_Knowledge,43,12.8040771,True,False,True,False,False,True
103,1a1b31b1,MCTS_Knowledge,44,9.996277,True,False,True,False,False,True
104,1a1b31b1,MCTS_Knowledge,45,8.32019,True,False,True,False,False,True
105,1a1b31b1,MCTS_Knowledge,46,8.015564,True,False,True,False,False,True
106,1a1b31b1,MCTS_Knowledge,47,10.8638306,True,False,True,False,False,True
107,1a1b31b1,MCTS_Knowledge,48,11.2676392,True,False,True,False,False,True
108,1a1b31b1,MCTS_Knowledge,49,8.334473,True,False,True,False,False,True
109,1a1b31b1,MCTS_Knowledge,50,14.07489,True,False,True,False,False,True
110,1a1b31b1,MCTS_Knowledge,51,22.7496338,True,False,True,False,False,True
111,1a1b31b1,MCTS_Knowledge,52,8.023987,True,False,True,False,False,True
112,1a1b31b1,MCTS_Knowledge,53,6.85998535,True,False,True,False,False,True
113,1a1b31b1,MCTS_Knowledge,54,6.73840332,True,False,True,False,False,True
114,1a1b31b1,MCTS_Knowledge,55,10.8760986,True,False,True,False,False,True
115,1a1b31b1,MCTS_Knowledge,56,21.7368164,True,False,True,False,False,True
116,1a1b31b1,MCTS_Knowledge,57,3.59631348,True,False,True,False,False,True
117,1a1b31b1,MCTS_Knowledge,58,15.2236328,True,False,True,False,False,True
118,1a1b31b1,MCTS_Knowledge,59,18.8258667,True,False,True,False,False,True
119,1a1b31b1,MCTS_Knowledge,60,5.626465,True,False,True,False,False,True
120,211700f2,MCTS_Knowledge,1,9.28340149,False,False,False,False,False,False
121,211700f2,MCTS_Knowledge,2,24.4001,False,False,False,False,False,False
