,EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,MeanComparisonCount,StdComparisonCount,ReachedKnowledgeStep,Q1ReachedKnowledgeStep,Q2ReachedKnowledgeStep,Q3ReachedKnowledgeStep,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece,method,player,simpleEffect,objective,simulation,almostRatio,playerDepth,Sum_Matched
4,5,200,2023-05-24 16:16:12.976,9b66f00c,0,0,0.0,0.0,199,199,199,199,46,42,8,103,3,9,7,3,0,2,2,3,random,0,1,-,-,-,-,276
5,6,200,2023-05-24 16:16:21.049,9b66f00c,0,0,0.0,0.0,157,93,93,157,51,30,10,94,3,21,7,3,0,2,2,3,random,0,1,-,-,-,-,306
6,7,200,2023-05-24 16:16:29.153,9b66f00c,0,0,0.0,0.0,165,165,165,165,29,36,1,78,2,5,7,3,0,2,2,3,random,0,1,-,-,-,-,174
7,8,200,2023-05-24 16:16:37.599,9b66f00c,0,0,0.0,0.0,105,20,41,105,37,33,7,100,5,11,7,3,0,2,2,3,random,0,1,-,-,-,-,222
8,9,200,2023-05-24 16:16:46.138,9b66f00c,0,0,0.0,0.0,50,41,45,47,51,50,10,122,4,19,7,3,0,2,2,3,random,0,1,-,-,-,-,306
9,10,200,2023-05-24 16:16:54.096,9b66f00c,0,0,0.0,0.0,95,27,27,95,41,36,2,134,8,21,7,3,0,2,2,3,random,0,1,-,-,-,-,246
10,11,200,2023-05-24 16:17:02.428,9b66f00c,0,0,0.0,0.0,134,110,110,134,44,32,3,82,8,6,7,3,0,2,2,3,random,0,1,-,-,-,-,264
11,12,200,2023-05-24 16:17:11.388,9b66f00c,0,0,0.0,0.0,108,38,108,108,33,37,1,91,8,5,7,3,0,2,2,3,random,0,1,-,-,-,-,198
12,13,200,2023-05-24 16:17:20.142,9b66f00c,0,0,0.0,0.0,105,30,46,105,53,25,21,154,10,17,7,3,0,2,2,3,random,0,1,-,-,-,-,318
13,14,200,2023-05-24 16:17:28.797,9b66f00c,0,0,0.0,0.0,197,34,35,197,20,24,8,96,5,6,7,3,0,2,2,3,random,0,1,-,-,-,-,120
14,15,200,2023-05-24 16:17:37.537,9b66f00c,0,0,0.0,0.0,71,56,71,71,41,31,3,116,17,15,7,3,0,2,2,3,random,0,1,-,-,-,-,246
15,16,200,2023-05-24 16:17:46.597,9b66f00c,0,0,0.0,0.0,30,9,30,30,34,26,9,123,10,17,7,3,0,2,2,3,random,0,1,-,-,-,-,204
16,17,200,2023-05-24 16:17:56.387,9b66f00c,0,0,0.0,0.0,51,51,51,51,46,37,15,160,9,14,7,3,0,2,2,3,random,0,1,-,-,-,-,276
17,18,200,2023-05-24 16:18:05.071,9b66f00c,0,0,0.0,0.0,141,56,67,141,26,31,2,149,12,7,7,3,0,2,2,3,random,0,1,-,-,-,-,156
18,19,200,2023-05-24 16:18:14.724,9b66f00c,0,0,0.0,0.0,127,36,39,127,36,20,6,91,3,14,7,3,0,2,2,3,random,0,1,-,-,-,-,216
19,20,200,2023-05-24 16:18:24.180,9b66f00c,0,0,0.0,0.0,56,23,53,56,50,31,2,111,7,11,7,3,0,2,2,3,random,0,1,-,-,-,-,300
20,21,200,2023-05-24 16:18:33.219,9b66f00c,0,0,0.0,0.0,-1,94,94,-1,38,34,7,151,1,17,7,3,0,2,2,3,random,0,1,-,-,-,-,228
21,22,200,2023-05-24 16:18:43.176,9b66f00c,0,0,0.0,0.0,78,30,51,78,45,35,13,103,2,15,7,3,0,2,2,3,random,0,1,-,-,-,-,270
22,23,200,2023-05-24 16:18:53.425,9b66f00c,0,0,0.0,0.0,117,110,110,117,29,36,11,79,5,18,7,3,0,2,2,3,random,0,1,-,-,-,-,174
23,24,200,2023-05-24 16:19:05.511,9b66f00c,0,0,0.0,0.0,20,11,19,20,51,29,7,202,15,17,7,3,0,2,2,3,random,0,1,-,-,-,-,306
24,25,200,2023-05-24 16:19:17.386,9b66f00c,0,0,0.0,0.0,71,48,48,65,30,42,9,120,12,6,7,3,0,2,2,3,random,0,1,-,-,-,-,180
25,26,200,2023-05-24 16:19:28.098,9b66f00c,0,0,0.0,0.0,102,35,35,102,54,49,6,117,8,6,7,3,0,2,2,3,random,0,1,-,-,-,-,324
0,384,1053,2023-05-24 16:16:03.393,da0af9b5,0,0,0.0,0.0,90,81,81,90,77,46,9,132,13,14,7,3,0,2,2,3,random,0,1,-,-,-,-,462
1,385,200,2023-05-24 16:16:27.953,da0af9b5,0,0,0.0,0.0,128,128,128,128,40,21,8,128,4,4,7,3,0,2,2,3,random,0,1,-,-,-,-,240
2,386,200,2023-05-24 16:16:53.757,da0af9b5,0,0,0.0,0.0,71,21,22,56,28,25,14,113,8,9,7,3,0,2,2,3,random,0,1,-,-,-,-,168
3,387,200,2023-05-24 16:17:22.624,da0af9b5,0,0,0.0,0.0,151,26,28,151,38,49,3,143,5,18,7,3,0,2,2,3,random,0,1,-,-,-,-,228
4,388,200,2023-05-24 16:17:48.343,da0af9b5,0,0,0.0,0.0,22,7,8,22,46,40,4,69,13,10,7,3,0,2,2,3,random,0,1,-,-,-,-,276
