,EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,MeanComparisonCount,StdComparisonCount,ReachedKnowledgeStep,Q1ReachedKnowledgeStep,Q2ReachedKnowledgeStep,Q3ReachedKnowledgeStep,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece,method,player,simpleEffect,objective,simulation,almostRatio,playerDepth,Sum_Matched
2,3,200,2023-05-24 16:15:39.288,523edf95,0,0,0.0,0.0,113,88,113,113,53,34,2,109,5,12,7,8,2,17,3,4,random,3,1,-,-,-,-,318
3,4,200,2023-05-24 16:15:47.270,523edf95,0,0,0.0,0.0,145,6,132,145,47,30,7,115,10,16,7,8,2,17,3,4,random,3,1,-,-,-,-,282
4,5,200,2023-05-24 16:15:55.446,523edf95,0,0,0.0,0.0,199,199,199,199,46,42,8,103,3,9,7,8,2,17,3,4,random,3,1,-,-,-,-,276
5,6,200,2023-05-24 16:16:03.622,523edf95,0,0,0.0,0.0,157,93,157,157,51,30,10,94,3,21,7,8,2,17,3,4,random,3,1,-,-,-,-,306
6,7,200,2023-05-24 16:16:11.734,523edf95,0,0,0.0,0.0,-1,165,165,-1,29,36,1,78,2,5,7,8,2,17,3,4,random,3,1,-,-,-,-,174
7,8,200,2023-05-24 16:16:20.008,523edf95,0,0,0.0,0.0,105,54,105,105,37,33,7,100,5,11,7,8,2,17,3,4,random,3,1,-,-,-,-,222
8,9,200,2023-05-24 16:16:28.730,523edf95,0,0,0.0,0.0,68,51,51,68,51,50,10,122,4,19,7,8,2,17,3,4,random,3,1,-,-,-,-,306
9,10,200,2023-05-24 16:16:37.058,523edf95,0,0,0.0,0.0,174,75,95,174,41,36,2,134,8,21,7,8,2,17,3,4,random,3,1,-,-,-,-,246
10,11,200,2023-05-24 16:16:45.309,523edf95,0,0,0.0,0.0,134,110,110,134,44,32,3,82,8,6,7,8,2,17,3,4,random,3,1,-,-,-,-,264
11,12,200,2023-05-24 16:16:53.715,523edf95,0,0,0.0,0.0,-1,41,108,-1,33,37,1,91,8,5,7,8,2,17,3,4,random,3,1,-,-,-,-,198
12,13,200,2023-05-24 16:17:02.102,523edf95,0,0,0.0,0.0,138,31,105,138,53,25,21,154,10,17,7,8,2,17,3,4,random,3,1,-,-,-,-,318
13,14,200,2023-05-24 16:17:10.599,523edf95,0,0,0.0,0.0,197,34,35,197,20,24,8,96,5,6,7,8,2,17,3,4,random,3,1,-,-,-,-,120
14,15,200,2023-05-24 16:17:19.530,523edf95,0,0,0.0,0.0,136,56,71,136,41,31,3,116,17,15,7,8,2,17,3,4,random,3,1,-,-,-,-,246
15,16,200,2023-05-24 16:17:28.756,523edf95,0,0,0.0,0.0,67,45,45,58,34,26,9,123,10,17,7,8,2,17,3,4,random,3,1,-,-,-,-,204
16,17,200,2023-05-24 16:17:39.046,523edf95,0,0,0.0,0.0,91,51,51,70,46,37,15,160,9,14,7,8,2,17,3,4,random,3,1,-,-,-,-,276
17,18,200,2023-05-24 16:17:48.335,523edf95,0,0,0.0,0.0,184,84,84,184,26,31,2,149,12,7,7,8,2,17,3,4,random,3,1,-,-,-,-,156
18,19,200,2023-05-24 16:17:58.170,523edf95,0,0,0.0,0.0,184,39,127,184,36,20,6,91,3,14,7,8,2,17,3,4,random,3,1,-,-,-,-,216
19,20,200,2023-05-24 16:18:07.804,523edf95,0,0,0.0,0.0,147,147,147,147,50,31,2,111,7,11,7,8,2,17,3,4,random,3,1,-,-,-,-,300
20,21,200,2023-05-24 16:18:17.856,523edf95,0,0,0.0,0.0,-1,94,-1,-1,38,34,7,151,1,17,7,8,2,17,3,4,random,3,1,-,-,-,-,228
21,22,200,2023-05-24 16:18:28.404,523edf95,0,0,0.0,0.0,-1,43,78,-1,45,35,13,103,2,15,7,8,2,17,3,4,random,3,1,-,-,-,-,270
22,23,200,2023-05-24 16:18:38.872,523edf95,0,0,0.0,0.0,122,110,117,122,29,36,11,79,5,18,7,8,2,17,3,4,random,3,1,-,-,-,-,174
23,24,200,2023-05-24 16:18:48.801,523edf95,0,0,0.0,0.0,62,41,41,62,51,29,7,202,15,17,7,8,2,17,3,4,random,3,1,-,-,-,-,306
24,25,200,2023-05-24 16:18:59.486,523edf95,0,0,0.0,0.0,71,48,48,65,30,42,9,120,12,6,7,8,2,17,3,4,random,3,1,-,-,-,-,180
25,26,200,2023-05-24 16:19:09.278,523edf95,0,0,0.0,0.0,102,90,102,102,54,49,6,117,8,6,7,8,2,17,3,4,random,3,1,-,-,-,-,324
26,27,200,2023-05-24 16:19:20.341,523edf95,0,0,0.0,0.0,129,91,109,129,33,25,5,106,6,10,7,8,2,17,3,4,random,3,1,-,-,-,-,198
27,28,200,2023-05-24 16:19:29.510,523edf95,0,0,0.0,0.0,111,53,77,111,38,25,4,99,5,10,7,8,2,17,3,4,random,3,1,-,-,-,-,228
0,383,1079,2023-05-24 16:16:03.402,8383288,0,0,0.0,0.0,105,105,105,105,54,32,5,90,8,6,6,10,1,3,2,4,random,4,1,-,-,-,-,324
1,384,200,2023-05-24 16:16:29.213,8383288,0,0,0.0,0.0,44,38,38,39,41,49,5,116,4,15,6,10,1,3,2,4,random,4,1,-,-,-,-,246
2,385,200,2023-05-24 16:16:54.732,8383288,0,0,0.0,0.0,81,24,54,80,51,29,13,121,10,15,6,10,1,3,2,4,random,4,1,-,-,-,-,306
3,386,200,2023-05-24 16:17:20.781,8383288,0,0,0.0,0.0,85,18,19,62,40,23,7,78,3,4,6,10,1,3,2,4,random,4,1,-,-,-,-,240
4,387,200,2023-05-24 16:17:47.969,8383288,0,0,0.0,0.0,69,40,40,46,38,39,11,111,10,11,6,10,1,3,2,4,random,4,1,-,-,-,-,228
5,388,200,2023-05-24 16:18:13.273,8383288,0,0,0.0,0.0,112,25,25,112,29,23,3,103,5,14,6,10,1,3,2,4,random,4,1,-,-,-,-,174
6,389,200,2023-05-24 16:18:39.346,8383288,0,0,0.0,0.0,183,61,61,68,38,30,16,126,13,10,6,10,1,3,2,4,random,4,1,-,-,-,-,228
7,390,200,2023-05-24 16:19:04.308,8383288,0,0,0.0,0.0,65,30,36,48,40,19,6,111,9,7,6,10,1,3,2,4,random,4,1,-,-,-,-,240
0,1,200,2023-05-24 16:15:20.921,958eb220,0,0,0.0,0.0,28,28,28,28,55,50,15,114,6,20,6,10,1,3,2,4,random,4,1,-,-,-,-,330
1,2,200,2023-05-24 16:15:29.216,958eb220,0,0,0.0,0.0,65,34,63,64,37,28,11,105,15,4,6,10,1,3,2,4,random,4,1,-,-,-,-,222
2,3,200,2023-05-24 16:15:36.591,958eb220,0,0,0.0,0.0,113,88,88,113,53,34,2,109,5,12,6,10,1,3,2,4,random,4,1,-,-,-,-,318
3,4,200,2023-05-24 16:15:44.212,958eb220,0,0,0.0,0.0,132,6,18,132,47,30,7,115,10,16,6,10,1,3,2,4,random,4,1,-,-,-,-,282
4,5,200,2023-05-24 16:15:51.805,958eb220,0,0,0.0,0.0,199,199,199,199,46,42,8,103,3,9,6,10,1,3,2,4,random,4,1,-,-,-,-,276
5,6,200,2023-05-24 16:15:59.531,958eb220,0,0,0.0,0.0,157,93,93,157,51,30,10,94,3,21,6,10,1,3,2,4,random,4,1,-,-,-,-,306
6,7,200,2023-05-24 16:16:07.156,958eb220,0,0,0.0,0.0,186,165,165,165,29,36,1,78,2,5,6,10,1,3,2,4,random,4,1,-,-,-,-,174
7,8,200,2023-05-24 16:16:14.746,958eb220,0,0,0.0,0.0,109,54,64,105,37,33,7,100,5,11,6,10,1,3,2,4,random,4,1,-,-,-,-,222
8,9,200,2023-05-24 16:16:23.122,958eb220,0,0,0.0,0.0,51,51,51,51,51,50,10,122,4,19,6,10,1,3,2,4,random,4,1,-,-,-,-,306
9,10,200,2023-05-24 16:16:30.723,958eb220,0,0,0.0,0.0,95,75,75,95,41,36,2,134,8,21,6,10,1,3,2,4,random,4,1,-,-,-,-,246
10,11,200,2023-05-24 16:16:38.793,958eb220,0,0,0.0,0.0,134,110,110,134,44,32,3,82,8,6,6,10,1,3,2,4,random,4,1,-,-,-,-,264
11,12,200,2023-05-24 16:16:47.138,958eb220,0,0,0.0,0.0,108,41,108,108,33,37,1,91,8,5,6,10,1,3,2,4,random,4,1,-,-,-,-,198
12,13,200,2023-05-24 16:16:55.366,958eb220,0,0,0.0,0.0,105,37,46,105,53,25,21,154,10,17,6,10,1,3,2,4,random,4,1,-,-,-,-,318
13,14,200,2023-05-24 16:17:04.050,958eb220,0,0,0.0,0.0,197,34,35,197,20,24,8,96,5,6,6,10,1,3,2,4,random,4,1,-,-,-,-,120
14,15,200,2023-05-24 16:17:12.468,958eb220,0,0,0.0,0.0,80,56,71,71,41,31,3,116,17,15,6,10,1,3,2,4,random,4,1,-,-,-,-,246
15,16,200,2023-05-24 16:17:20.721,958eb220,0,0,0.0,0.0,68,45,45,67,34,26,9,123,10,17,6,10,1,3,2,4,random,4,1,-,-,-,-,204
16,17,200,2023-05-24 16:17:30.200,958eb220,0,0,0.0,0.0,91,51,51,51,46,37,15,160,9,14,6,10,1,3,2,4,random,4,1,-,-,-,-,276
17,18,200,2023-05-24 16:17:39.399,958eb220,0,0,0.0,0.0,141,84,84,141,26,31,2,149,12,7,6,10,1,3,2,4,random,4,1,-,-,-,-,156
18,19,200,2023-05-24 16:17:49.161,958eb220,0,0,0.0,0.0,127,39,42,127,36,20,6,91,3,14,6,10,1,3,2,4,random,4,1,-,-,-,-,216
19,20,200,2023-05-24 16:17:58.139,958eb220,0,0,0.0,0.0,147,147,147,147,50,31,2,111,7,11,6,10,1,3,2,4,random,4,1,-,-,-,-,300
20,21,200,2023-05-24 16:18:07.345,958eb220,0,0,0.0,0.0,-1,94,94,-1,38,34,7,151,1,17,6,10,1,3,2,4,random,4,1,-,-,-,-,228
21,22,200,2023-05-24 16:18:16.765,958eb220,0,0,0.0,0.0,78,50,52,78,45,35,13,103,2,15,6,10,1,3,2,4,random,4,1,-,-,-,-,270
22,23,200,2023-05-24 16:18:27.078,958eb220,0,0,0.0,0.0,117,110,110,117,29,36,11,79,5,18,6,10,1,3,2,4,random,4,1,-,-,-,-,174
23,24,200,2023-05-24 16:18:36.571,958eb220,0,0,0.0,0.0,54,41,41,41,51,29,7,202,15,17,6,10,1,3,2,4,random,4,1,-,-,-,-,306
24,25,200,2023-05-24 16:18:47.923,958eb220,0,0,0.0,0.0,65,48,48,65,30,42,9,120,12,6,6,10,1,3,2,4,random,4,1,-,-,-,-,180
25,26,200,2023-05-24 16:18:58.379,958eb220,0,0,0.0,0.0,102,90,90,102,54,49,6,117,8,6,6,10,1,3,2,4,random,4,1,-,-,-,-,324
26,27,200,2023-05-24 16:19:09.348,958eb220,0,0,0.0,0.0,112,91,109,112,33,25,5,106,6,10,6,10,1,3,2,4,random,4,1,-,-,-,-,198
27,28,200,2023-05-24 16:19:21.109,958eb220,0,0,0.0,0.0,105,53,77,105,38,25,4,99,5,10,6,10,1,3,2,4,random,4,1,-,-,-,-,228
